EquipName,Name,Category,Stat,Attack,Damage,BossDamage,Icon
Beginner_Club,초보자의 몽둥이,Weapon,0,15,0,0,207524c467dd40b98e5f691fc3f213b0
Basic_Weapon,기본 시리즈,Weapon,2,17,0,0,bf949403840545b582dd336a1f04a6ad
Beginner_Cloth,초보자의 옷,Armor,10,0,0,0,efca4df86ed94b3786401ff67a8acb85
White_Set,화이트 세트,Armor,41,13,0,0,thumbnail://852520dc887a4047939c4b79790fb8a9
Black_Set,블랙 세트,Armor,98,31,0,20,thumbnail://1328482199cd4103b23a48128dfdc9f8
Condensed_Power_Crystal,응축된 힘의 결정석,Accessory,30,12,0,5,a435e786f8624720b740e5f5c89b924e
Aquatic_Letter_Eye,아쿠아틱 레터 눈장식,Accessory,25,10,0,4,
Enraged_Zakum_Belt,분노한 자쿰의 벨트,Accessory,35,13,0,6,
Papulatus_Mark,파풀라투스 마크,Accessory,45,16,0,7,9de7cff215d24d83abececd5fc1a05a2
Flame_Of_Hell,지옥의 불꽃,Accessory,50,18,0,8,cf0f79d29d6442b6a961d274db891ec2
Stone_Of_Eternal_Life,영생의 돌,Accessory,55,20,0,9,044f7ee7c68f4e5695b0163ed2f18af2
Noble_Ifia_Ring,고귀한 이피아의 반지,Accessory,48,17,0,7,8bd7777299bf442a8cc3464ecd22466b
Dea_Sidus_Earring,데아 시두스 이어링,Accessory,60,21,0,9,c38055284ad44efbb95f2d4cae53a5fa
Silver_Blossom_Ring,실버블라썸 링,Accessory,40,14,0,6,d9a9440eb33e400cac81a0642ae444f8
Horntail_Necklace,혼테일의 목걸이,Accessory,50,18,0,8,4be7532a78ec4ecbad8b68d500b6ec0e
Chaos_Horntail_Necklace,카오스 혼테일의 목걸이,Accessory,65,22,0,10,4be7532a78ec4ecbad8b68d500b6ec0e
Guardian_Angel_Ring,가디언 엔젤 링,Accessory,90,30,0,15,221cc8f1eacc42e68c83d202d49caacc
Black_Bean_Mark,블랙빈 마크,Accessory,80,28,0,14,23c7346d9758448bbc94fc873690bbb8
Golden_Clover_Belt,골든 클로버 벨트,Accessory,75,26,0,12,d492128b79fe4d499c03c08c804eebfc
Pink_Holy_Cup,핑크빛 성배,Accessory,85,30,0,15,f804f8f0e3d34bdfa399e87129cb6d78
Royal_Black_Metal_Shoulder,로얄 블랙메탈 숄더,Accessory,85,29,0,14,3fb286b75c4847dab2154383e4f3faf9
Crystal_Ventus_Badge,크리스탈 웬투스 뱃지,Accessory,100,34,0,17,80df9575e06f46c4aa358dc10d9aa80f
Mechanator_Pendant,매커네이터 팬던트,Accessory,70,24,0,11,4cb9cfb79d7149b6a1f1d59977c212b1
Dominator_Pendant,도미네이터 펜던트,Accessory,95,32,0,16,3f0a06eaf935485da490d8a101353137
