EquipName,Name,Category,Class,Preset Name,Sprite RUID,MainStat_Flat,MainStat_Percent,MainAttack_Flat,MainAttack_Percent,Damage_Percent,BossDamage_Percent
한쪽 은 귀고리,초보자의 장신구,Accessory,Common,earaccessory-31,42998039a9db44c3a4fb866967748ee8,8,1,3,1,1,3
응축된 힘의 결정석,보스 장신구 세트(5),Accessory,Common,faceaccessory-260,a98c0b7cde1041439c7e310e1d47f123,8,1,3,1,1,3
도미네이터 펜던트,보스 장신구 세트(9),Accessory,Common,레전드리도미네이터펜던트,bd2a197552fa4534858b61cd9ef50778,8,1,3,1,1,3
마력이 깃든 안대,칠흑의 보스 세트(5),Accessory,Common,eyeaccessory-133,d076df200b0b4998ad15fd70edef0ebf,24,3,9,3,3,9
몽환의 벨트,칠흑의 보스 세트(7),Accessory,Common,sprite-10457682,1c56b959f6f64169b0136d2ab406e061,24,3,9,3,3,9
몽둥이,몽둥이,Weapon,Common,onehandedweapon-1295,ce073997978f4248b03c628dad9bbe11,5,1,10,3,2,2
초보 전사의 검,초보 전사의 검,Weapon,Warrior,onehandedweapon-642,444f1da6365d4599a27bbfd207585856,5,1,10,3,2,2
초보 마법사의 완드,초보 마법사의 완드,Weapon,Mage,onehandedweapon-979,061712eadf7d4357a6c306dfd5368860,5,1,10,3,2,2
초보 궁수의 활,초보 궁수의 활,Weapon,Archer,twohandedweapon-729,3ffe515570ad435caa397ca0f2e2f83b,5,1,10,3,2,2
초보 도적의 단검,초보 도적의 단검,Weapon,Thief,onehandedweapon-33,1489702f013a4ba4a1ec080da4df17c3,5,1,10,3,2,2
스틸 너클,스틸 너클,Weapon,Pirate,twohandedweapon-282,9c03a78d2caf49a982a1d4b1d924cee4,5,1,10,3,2,2
파프니르 미스틸테인,파프니르 미스틸테인,Weapon,Warrior,onehandedweapon-937,8303d4013c3d45908736417dddd60908,15,3,30,9,6,6
파프니르 마나테이커,파프니르 마나테이커,Weapon,Mage,onehandedweapon-820,6af36c66763d4076bf1129abf1f9c364,15,3,30,9,6,6
파프니르 윈드체이서,파프니르 윈드체이서,Weapon,Archer,twohandedweapon-548,18d80518f407457aa489da97c5fead0d,15,3,30,9,6,6
파프니르 다마스커스,파프니르 다마스커스,Weapon,Thief,onehandedweapon-1582,8210f5a091494f6eb6eeae02a4d764b5,15,3,30,9,6,6
파프니르 펜리르탈론,파프니르 펜리르탈론,Weapon,Pirate,twohandedweapon-172,61b4dc223fa64dfe80d49db5b6abf9a0,15,3,30,9,6,6
아케인셰이드 세이버,아케인셰이드 세이버,Weapon,Warrior,onehandedweapon-1560,44a07a6cb6df4f3d894f74a7ae570bf9,15,3,30,9,6,6
아케인셰이드 완드,아케인셰이드 완드,Weapon,Mage,onehandedweapon-654,45f13f992eaa4f689f41aeaa8ed5722f,15,3,30,9,6,6
아케인셰이드 보우,아케인셰이드 보우,Weapon,Archer,twohandedweapon-604,2376e3b2ed9d4ce3ab04a7b014b868dc,15,3,30,9,6,6
아케인셰이드 대거,아케인셰이드 대거,Weapon,Thief,onehandedweapon-1554,36377403de5d413893a598704270554c,15,3,30,9,6,6
아케인셰이드 클로,아케인셰이드 클로,Weapon,Pirate,twohandedweapon-121,36377403de5d413893a598704270554c,15,3,30,9,6,6
도전자의 세이버,도전자의 세이버,Weapon,Warrior,onehandedweapon-2969,7251ffce8e40421a9c5c321751d8e48f,10,2,20,6,4,4
도전자의 스펠링완드,도전자의 스펠링완드,Weapon,Mage,onehandedweapon-3031,5c5314dfc6774bb8b372899bc9e696a4,10,2,20,6,4,4
도전자의 슈팅보우,도전자의 슈팅보우,Weapon,Archer,twohandedweapon-1678,02a25d65f073475e90aeb09dc1201e12,10,2,20,6,4,4
도전자의 슬래셔,도전자의 슬래셔,Weapon,Thief,onehandedweapon-3003,7f0a0338a1cc401ea1cc09eb194406a2,10,2,20,6,4,4
도전자의 블로우너클,도전자의 블로우너클,Weapon,Pirate,twohandedweapon-2150,e8e030ee6e3c439e97cccabaaacd0fa6,10,2,20,6,4,4
평범한 밀짚모자,평범한 밀짚모자,Armor,Common,cap-1910,fbf5fb80ab97429e80b8b78c6b7e74c1,15,2,2,0,1,0
10주년 화이트 햇,10주년 화이트 햇,Armor,Common,cap-1046,852520dc887a4047939c4b79790fb8a9,30,4,4,0,2,0
하이네스 워리어헬름,하이네스 워리어헬름,Armor,Common,cap-1692,dfb98b05671b489ba1beb7d2c38e28a7,45,6,6,0,3,0
아케인셰이드 나이트햇,아케인셰이드 나이트햇,Armor,Common,cap-1137,927bc02eee4d4448bf82d288c7e83cbb,45,6,6,0,3,0
도전자의 장비 모자,도전자의 장비 모자,Armor,Common,cap-3627,f10d11bfbf31496aa28d42751fc49160,30,4,4,0,2,0
