Category,Source,Rarity,EquipName,Weight
Accessory,Zakum,Boss,,
Accessory,Horntail,Boss,,
Accessory,Pink_Bean,Boss,,
Accessory,Von_Leon,Boss,,
Accessory,Papulatus,Boss,,
Accessory,Von_Bon,Boss,,
Accessory,Pierre,Boss,,
Accessory,Bloody_Queen,Boss,,
Accessory,Vellum,Boss,,
Accessory,Lotus,Boss,,
Accessory,Damien,Boss,,
Accessory,Guardian_Angel_Slime,Boss,,
Accessory,Lucid,Boss,,
Accessory,Will,Boss,,
Accessory,Dusk,Boss,,
Accessory,Jin_Hilla,Boss,,
Accessory,Dunkel,Boss,,
Accessory,Black_Mage,Boss,,
