Grade,StatType,Value
RARE,MainStatPct,3
RARE,AttackPct,3
RARE,DamagePct,3
RARE,MainStatFlat,12
RARE,AttackFlat,12
EPIC,MainStatPct,6
EPIC,AttackPct,6
EPIC,DamagePct,6
EPIC,AllStatPct,3
EPIC,AttackPct,3
UNIQUE,MainStatPct,9
UNIQUE,AttackPct,9
UNIQUE,AttackPct,6
UNIQUE,DamagePct,9
UNIQUE,DamagePct,6
UNIQUE,AllStatPct,6
UNIQUE,BossDamagePct,30
LEGENDARY,MainStatPct,12
LEGENDARY,AttackPct,12
LEGENDARY,AttackFlat,32
LEGENDARY,DamagePct,12
LEGENDARY,AllStatPct,9
LEGENDARY,AllStatPct,6
LEGENDARY,MainStatPct,9
LEGENDARY,AttackPct,9
