BuffName,Category,Tier,ImageRUID,Name,Description,MainStat_Num,MainStat_Percent,AllStat_Num,AllStat_Percent,MainPower_Num,MainPower_Percent,Damage_Percent,CriticalDamage_Percent,Boss_Percent
Adventurer,Camp,1,017fc690a98f427b90d20441e8b134dc,메이플 용사,모험의 길을 걷는 자,,,,10,,,,,
Cygnus,Camp,1,00e8ad0ddb624dbbbcbed8b80ff57ec2,시그너스 나이츠,용맹한 여제의 기사,,,,10,,,,,
Resistance,Camp,1,017fc690a98f427b90d20441e8b134dc,메이플 용사,억압된 도시의 저항자,,,,10,,,,,
Nova,Camp,1,90098eb4479e46e997dbc4c4a5601335,노바의 용사,용족의 후예,,,,10,,,,,
The_Guild's_Blessing,Guild,1,32e715e8be93498e8b1765a38296dccb,길드의 축복,"소형 길드에 가입하여, 길드의 축복을 받았다.",,,,,20,,,,
The_Guild's_Greater_Blessing,Guild,2,381e2734fc294a00836403e697460d93,길드의 더 큰 축복,"대형 길드에 가입하여, 길드의 더 큰 축복을 받았다.",,,,,30,,,,
First_Date,Union,1,07f4030fe5d245c899d5a742c17014ab,첫 데이트,첫 데이트는 언제나 설렌다. 힘이 솟아 오른다.,,,,,20,,,,
Wedding_Fanfare,Union,2,eb4fbe42e3474807b243669c0e800213,웨딩 팡파르,사랑하는 사람과의 유대를 통해 더욱 더 강해졌다.,,,,,30,,,,
Maple_Union,Union,3,1261f24127244f82842661f238dd67c6,유니온의 축복,메이플 유니온을 통해 더욱 강해졌다.,,,,,,20,,,
Date_PetWalk_S,Date,1,07f4030fe5d245c899d5a742c17014ab,펫 산책로 데이트,펫과 함께 산책하며 마음이 편안해졌다. 주스탯이 올랐다.,,20,,,,,,,
Date_PetWalk_G,Date,1,07f4030fe5d245c899d5a742c17014ab,펫 산책로 데이트(대성공),펫과 함께한 최고의 산책. 주스탯이 크게 올랐다.,,30,,,,,,,
Date_Training_S,Date,1,07f4030fe5d245c899d5a742c17014ab,심신 수련관 데이트,함께 수련하며 몸과 마음을 단련했다. 공격력/마력이 올랐다.,,,,,,20,,,
Date_Training_G,Date,1,07f4030fe5d245c899d5a742c17014ab,심신 수련관 데이트(대성공),완벽한 합동 수련. 공격력/마력이 크게 올랐다.,,,,,,30,,,
Date_HotSpring_S,Date,1,07f4030fe5d245c899d5a742c17014ab,라무라무 온천 데이트,온천에서 피로를 풀며 투지가 샘솟았다. 보스 대미지가 올랐다.,,,,,,,,,20
Date_HotSpring_G,Date,1,07f4030fe5d245c899d5a742c17014ab,라무라무 온천 데이트(대성공),최고의 온천 데이트. 보스 대미지가 크게 올랐다.,,,,,,,,,30
Union_Power,UnionPower,1,1261f24127244f82842661f238dd67c6,유니온의 힘,강력한 유니온을 결성하여 힘이 넘쳐흐른다.,,,,,30,,,,
ViceMaster,Vice,1,3d43a2843ea2483caea4887e38f29685,부길드마스터,믿음직한 부길드마스터를 영입해 길드 운영이 든든해졌다.,,,,,10,,,,
AFK_Warning,,,5d56021743f94ef0a447115c938a0909,경고 스택!,30초 동안 움직이지 않으면 경고가 쌓입니다. 3스택 시 강제 퇴장.,,,,,,,,,
Pet_Lumi,Pet,1,079d10343b0c41718d67fb619cc8ee60,쁘띠 루미,INT +10% 증가,,,,,,,,,
Pet_Phantom,Pet,1,a4954fe77b3148fa9bbb85543498fb82,쁘띠 팬텀,LUK +10% 증가,,,,,,,,,
Pet_Aran,Pet,1,0b3329aa82ac46a7a44e053d133eda89,쁘띠 아란,STR +10% 증가,,,,,,,,,
Pet_Mer,Pet,1,e51e5cb8822846569ab2d69f99cbac58,쁘띠 메르,DEX +10% 증가,,,,,,,,,
Pet_Eunwol,Pet,1,42d1bed405ec48c4a3cd7de63aff0d44,쁘띠 은월,올스탯 +9% 증가,,,,,,,,,
Pet_Evan,Pet,1,6fc322e47e2d415f967865a632ec1b1e,쁘띠 에반,INT +10% 증가,,,,,,,,,
