Event,Seq,Type,Next,Npc,Weight,Reward,Text
create,1,text,2,Lea,,,"지금까지는 나혼자서 강해져왔지만,\n이제 강력한 동료를 모아 같이 강해지고 싶다!"
create,2,text,3,Lea,,,"나만의 길드를 만들어, 훌륭한 동료들을 모을 것이다!\n나는 길드를 창설하기위해, 관리자 레아를 찾아갔다!"
create,3,roll,,Lea,,,"길드를 창설하기 위해 주사위를 굴린다!"
create,3,success,,,70,guildcreate:1;buff:The_Guild's_Blessing,"레아가 검토를 해보더니, 나에게 길드를 창설할 수 있는\n자격이 충분하다고 하였다!\n\n드디어 나만의 길드를 창설하였다!\n[버프] 길드의 축복을 얻었다!"
create,3,great,,,30,guildcreate:2;buff:The_Guild's_Greater_Blessing,"레아가 검토를 해보더니, 내 실력으로는\n더 높은 단계의 길드로 창설이 가능하다고 하였다!\n\n나는 단숨에 마스터 길드를 창설하였다!\n[버프] 더 큰 길드의 축복을 얻었다!"
vice,1,text,2,,,,"길드를 운영해보니, 나혼자 운영하기에는 너무 일이 많았다!\n나를 도와줄 부길드마스터를 영입해야겠다!"
vice,2,text,3,,,,"레아를 통해 다양한 후보를 추천받았다.\n이중에서 나와 같이 일할 사람은..."
vice,3,vice,,,,,
member,1,text,2,,,,"길드에는 인재가 많아야지!\n부길드마스터와 논의하여, 인재를 영입할 준비를 했다."
member,2,roll,,,,,"길드에 신규 인원이 가입을 신청했다!\n가입 시험을 진행한 결과..."
member,2,fail,,,20,,"우리 길드와는 맞지 않은 사람인 것 같다...\n아쉽게도 신규 지원자를 돌려보냈다."
member,2,success,,,60,guildmember:1;attack%:9;main%:9,"길드에 가입할 자격이 충분한 것 같다!\n길드에 신규 인원이 추가되었다!\n\n길드원의 수가 1만큼 증가하고,\n공격력/마력이 9%만큼 증가하고 주스탯이 9%만큼 증가하였다!"
member,2,great,,,20,guildmember:1;attack%:15;main%:15,"시험 결과, 아주 훌륭한 인재였다!\n길드에 유능한 신규 인원이 추가되었다!\n\n길드원의 수가 1만큼 증가하고,\n공격력/마력이 15%만큼 증가하고 주스탯이 15%만큼 증가하였다!"
promote,1,text,2,Lea,,guildpromote:1;buff:The_Guild's_Greater_Blessing,"어느덧 길드의 인원이 많이 늘어났다!\n더 높은 단계의 길드로 인정받아, 인원수를 늘릴 것이다!"
promote,2,text,3,Lea,,,"레아에게 검토를 받은 결과,\n길드가 무사히 승급되었다!"
promote,3,text,,Lea,,,"앞으로도 많은 길드원을 영입하여 길드를 성장시켜 나가야겠다!\n[버프] 더 큰 길드의 축복을 얻었다!"
