Key,DisplayName,JobGroup,ImageRUID,StatKind,StatGain,AttackGain,Flavor
Hero,히어로,전사,7611a2d2790b425392121d9572789275,str,30,10,"열정이 가득한 사람을 영입하여, 기분이 좋아졌다!"
ArchMage,썬콜,마법사,dfc023c282ca467a9c893b529a663f7f,int,30,10,"똑똑한 사람을 영입하여, 기분이 좋아졌다!"
Bowmaster,보우마스터,궁수,26cff1ff39f84159a891b7a334261d19,dex,30,10,"빠릿빠릿한 사람을 영입하여, 기분이 좋아졌다!"
NightLord,나이트로드,도적,b5f503fd29fb4931bfda54d05acd92bc,luk,30,10,"행운이 가득한 사람을 영입하여, 기분이 좋아졌다!"
Captain,캡틴,해적,4b6deb281db843aea2084a625e693da8,str,30,10,"쾌활함이 가득한 사람을 영입하여, 기분이 좋아졌다!"
DarkKnight,다크나이트,전사,7611a2d2790b425392121d9572789275,str,30,10,묵직한 카리스마를 지닌 사람을 영입하여 든든해졌다!
Paladin,팔라딘,전사,7611a2d2790b425392121d9572789275,str,30,10,굳건한 신념을 지닌 사람을 영입하여 든든해졌다!
Marksman,신궁,궁수,26cff1ff39f84159a891b7a334261d19,dex,30,10,백발백중 명사수를 영입하여 기분이 좋아졌다!
Pathfinder,패스파인더,궁수,26cff1ff39f84159a891b7a334261d19,dex,30,10,고대의 힘을 다루는 사람을 영입하여 든든해졌다!
ArchMageFP,불독,마법사,dfc023c282ca467a9c893b529a663f7f,int,30,10,화끈한 마법을 다루는 사람을 영입하여 기분이 좋아졌다!
Bishop,비숍,마법사,dfc023c282ca467a9c893b529a663f7f,int,30,10,치유의 힘을 지닌 사람을 영입하여 마음이 편안해졌다!
Shadower,섀도어,도적,b5f503fd29fb4931bfda54d05acd92bc,luk,30,10,그림자처럼 날렵한 사람을 영입하여 기분이 좋아졌다!
DualBlade,듀얼블레이더,도적,b5f503fd29fb4931bfda54d05acd92bc,luk,30,10,쌍검을 휘두르는 사람을 영입하여 기분이 좋아졌다!
Buccaneer,바이퍼,해적,4b6deb281db843aea2084a625e693da8,str,30,10,주먹이 매서운 사람을 영입하여 기분이 좋아졌다!
CannonShooter,캐논슈터,해적,4b6deb281db843aea2084a625e693da8,str,30,10,포탄처럼 화끈한 사람을 영입하여 기분이 좋아졌다!
