BossName,Accessory,Weight,Label
Zakum,Condensed_Power_Crystal,50,응축된 힘의 결정석
Zakum,Aquatic_Letter_Eye,35,아쿠아틱 레터 눈장식
Zakum,Enraged_Zakum_Belt,15,분노한 자쿰의 벨트
Papulatus,Papulatus_Mark,100,파풀라투스 마크
Hilla,Flame_Of_Hell,60,지옥의 불꽃
Hilla,Stone_Of_Eternal_Life,40,영생의 돌
Von_Leon,Noble_Ifia_Ring,100,고귀한 이피아의 반지
Horntail,Silver_Blossom_Ring,40,실버블라썸 링
Horntail,Horntail_Necklace,30,혼테일의 목걸이
Horntail,Dea_Sidus_Earring,20,데아 시두스 이어링
Horntail,Chaos_Horntail_Necklace,10,카오스 혼테일의 목걸이
Guardian_Angel_Slime,Guardian_Angel_Ring,100,가디언 엔젤 링
Pink_Bean,Golden_Clover_Belt,45,골든 클로버 벨트
Pink_Bean,Black_Bean_Mark,35,블랙빈 마크
Pink_Bean,Pink_Holy_Cup,20,핑크빛 성배
Magnus,Royal_Black_Metal_Shoulder,60,로얄 블랙메탈 숄더
Magnus,Crystal_Ventus_Badge,40,크리스탈 웬투스 뱃지
Arkarium,Mechanator_Pendant,60,매커네이터 팬던트
Arkarium,Dominator_Pendant,40,도미네이터 펜던트
