Map,Tier,Weight,ResultType,IncreaseFlat
1,1,15,MainStat,3
1,1,35,MainStat,2
1,1,50,MainStat,1
2,1,15,MainStat,6
2,1,35,MainStat,4
2,1,50,MainStat,2
2,2,15,MainStat,3
2,2,35,MainStat,2
2,2,50,MainStat,1
2,3,15,MainStat,3
2,3,35,MainStat,2
2,3,50,MainStat,1
2,4,15,MainStat,3
2,4,35,MainStat,2
2,4,50,MainStat,1
2,5,15,MainStat,3
2,5,35,MainStat,2
2,5,50,MainStat,1
3,1,15,MainStat,3
3,1,35,MainStat,2
3,1,50,MainStat,1
3,2,15,MainStat,3
3,2,35,MainStat,2
3,2,50,MainStat,1
3,3,15,MainStat,3
3,3,35,MainStat,2
3,3,50,MainStat,1
3,4,15,MainStat,3
3,4,35,MainStat,2
3,4,50,MainStat,1
3,5,15,MainStat,3
3,5,35,MainStat,2
3,5,50,MainStat,1
