Region,RUID
Henesys,df68e970951740de8f8235d1e5316b23
Perion,1bcca4aaa4fa4823b1f7f0ce0a661cda
Orbis,063f1dddbf8b4a1bb9067b0c7a196922
Ludibrium,bc2e96a4f49a4229be05a78ed21d4398
Lion_Kings_Castle,e81c438b3fec4bf68a932323a4876975
Rootabyss,7f12be7facb84f47b5a4bdbd79858d4a
Temple_of_Time,a19fe95385bf47279f25655fc1032c98
Ruined_Henesys,efc990867e2a4a10af0d3a10a8d645f3
Vanishing_Journey,ba8ce178a584420d98e6e9c9db792881
ChuChu_Island,a64ca7a9824b4c24a4ef19d15181541b
Lachelein,93147bcf77494841b8d4478791ed9282
Arcana,87455f5f463441b4befc83a2c0b8b12a
Morass,732c8aeac0624d21bdcfc89bc6244105
Esfera,0c319c21fac3449f972215750e3f5515
Moonbridge,dd94f8153ab94cf8807de5327aa5c5f7
Labyrinth_Of_Suffering,fec06ea8a4a943279acfdba9a1f3a1f8
Limina,6329b911eb214276872ad605ba18e524
