BossName,Name,BossSelectRUID,DetailPanelRUID,IngameStandRUID,DieAnimRUID,UIScale,UIOffsetX,UIOffsetY,BossFightStandRUID
Zakum,자쿰,b0b56ca06c4d4ecbbc58868661ac3ef7,599414a40be2400a922d6bb7a47086d0,ec96371d27774f6eabac7e82bd013a57,ab4cf3cab5434639af8abb7445827763,,,,
Horntail,혼테일,22f23fc255cf4062a9b12c0740ad7f20,fc093a5ffa5a462b89e68ed2921ec978,741f6fdaecb34fa08289bb78c551188d,7d6ece551cc5407b923b34ff11df9f39,,,150,
Pink_Bean,핑크빈,00fd74261dbe41b7a17426718a3b7691,1ab3626a660c4ffc91ff9f4d542791de,a3c5a7459c2e44609eafdeabd7477b49,7f5f934d5ad24e739c27c08a8a73531a,,,,
Von_Leon,반 레온,529e4a2e2b5a477bbdee5025e99a1257,465d5edf86ea41a4a5f8c811871735c8,5da8ad8fc278428c8130b26d1e8de875,45ec34cfcd4e4d76864c0f50a9421141,0.5,,,
Papulatus,파풀라투스,f72ca6e4545e468a8b133be5e74be1e8,58472830d2a84c8ca04183a17e6ff0a7,13850817e4664f64af5d279ed56a5e37,89b902b4465544cb9d844cf05a08282b,,,-30,
Magnus,매그너스,8f2449bd31d142708ffe5c8759000118,f6074b6886b64a429ccc8b4c6ae4fc33,2b0187e06dcf4b5281ab546572b1ad6e,329d716443e94441a8b4ead2ccbf0e0b,,,,
Von_Bon,반반,828cbff84ee346fcb452d2e79f39a0cc,70943e006aea420c98657772976d677c,373a5a9657244a1b8aeecbafb423a01e,de690e1618d144c09ed85e44f5568fa9,,,,
Pierre,피에르,828cbff84ee346fcb452d2e79f39a0cc,70943e006aea420c98657772976d677c,25a693e86a234f5199afcbdc45687212,bcfdcc5e4a7244dd8662e7950b1d7857,,,,
Bloody_Queen,블러디 퀸,828cbff84ee346fcb452d2e79f39a0cc,70943e006aea420c98657772976d677c,0c864e400bce45728065339ccbd33c77,16504d26a82948f8b1a6eb3f6afc1a70,,,,
Vellum,벨룸,828cbff84ee346fcb452d2e79f39a0cc,70943e006aea420c98657772976d677c,cd605931487348ea9931bde5681a78cc,979dc56fe8474a6ba2360101a443af19,0.35,,,
Root_Abyss,4루타,828cbff84ee346fcb452d2e79f39a0cc,70943e006aea420c98657772976d677c,65f2118b389a45f6891f5020e84bf7e4,979dc56fe8474a6ba2360101a443af19,,,,cd605931487348ea9931bde5681a78cc
Lotus,스우,4a5acf4c0fac42c8aa70edd1711aac5d,a51d5fafc87a47ca936f93b9c4b69bc6,c58d71083df0429ca8117c052e0b2dcf,6209fc4c1fa14d48be8f7037572c9ed5,1.5,,,
Damien,데미안,1ebb8f20a0014f4fb9fc19cd72e86e7c,1e469ac9f77a47fdb6b26963751e628f,76a0ada64cdd4fa798a7b01fb93c6e53,64078e3aba7e4501840488bbe44cbb08,1.25,,,
Guardian_Angel_Slime,가디언 엔젤 슬라임,02bdb96e33334cbfaf256078f7b04b13,bdde41b7fef649d3ad07eeddde3ee048,5839339a68c741e89ff9faff68fb9853,5dbc80e37434416fa12cbdb340da860b,,,,
Lucid,루시드,feeb119cf5f5497180f7a66b7a38bc1d,c733caa286af4f8da21faef18062a9c7,8e08a71b8ead40f9bf75ecbace4ee578,ea2f7c0f10c84703ae8d1d3fb61faf30,1,,50,7d6915d162074fbdba004f4a5e7bbafd
Will,윌,aa40cf5c6297475ea5a9780c13941d06,8384d4dd037e4d7590503cb57e503dd9,85fe3bd82dec4e448b1b831068c2fb98,9efbe2ef53894370b1e2382aa87733e5,,,,
Dusk,더스크,8d6eb0b71d04404abcb1042cd3684251,f40a6d1f213e49ccbc3ba1e34a2f334b,cf0f88da0c084518ab01e8d2c733a819,f594e19e8e9e48a1b3606e5e095825dd,0.5,,,
Jin_Hilla,진 힐라,2ae224b6b13d42eb8943f260ed870240,f132307f77c14eeea7ddc4d5f938f2b8,d49df04c6c44478381424f223f7b6248,a8ac01e073b14f7183b1f6e663e65f5e,,,,
Dunkel,듄켈,46b05723189d456f8a036a27c22d3111,b6c95a3bc5ea4187820f900daf796ef3,778ef16c47c2492d809a00388da34b42,fb8d22b2384a49b881dca06bd92d8c04,0.5,,,
Black_Mage,검은 마법사,7a3dd8f89fc3460a89987cae8f27271b,5ae719b420e045e99f3bd33df445e0b4,8fbede71fbe34ff49e250a1a7ea03394,772366c79921410da72e8f968077431a,,,-430,
Orca,오르카,,,ca0224363e094c46a532832fbc5ea674,8cf0cbe08c584aa190929b82cb672124,,,,
