Stage,Region,BossName,Difficulties
2,Orbis,Zakum,Normal
2,Sahel_Desert,Zakum,Normal
2,Magatia,Zakum,Normal
2,Leafre,Zakum,Normal
2,Leafre,Horntail,Normal
2,Leafre,Magnus,Normal
2,Ludibrium,Zakum,Normal
2,Ludibrium,Horntail,Normal
2,Ludibrium,Magnus,Normal
2,Lion_Kings_Castle,Root_Abyss,Normal
2,Lion_Kings_Castle,Von_Leon,Normal
2,Lion_Kings_Castle,Pink_Bean,Normal
2,Rootabyss,Root_Abyss,Normal
2,Rootabyss,Von_Leon,Normal
2,Rootabyss,Pink_Bean,Normal
2,Temple_of_Time,Root_Abyss,Normal
2,Temple_of_Time,Von_Leon,Normal
2,Temple_of_Time,Pink_Bean,Normal
2,Ruined_Henesys,Root_Abyss,Normal/Chaos
2,Ruined_Henesys,Von_Leon,Normal/Hard
2,Ruined_Henesys,Pink_Bean,Normal/Chaos
3,Vanishing_Journey,Root_Abyss,Chaos
3,Vanishing_Journey,Papulatus,Chaos
3,Vanishing_Journey,Lotus,Normal
3,Vanishing_Journey,Damien,Normal
3,Reverse_City,Root_Abyss,Chaos
3,Reverse_City,Papulatus,Chaos
3,Reverse_City,Lotus,Normal
3,Reverse_City,Damien,Normal
3,ChuChu_Island,Root_Abyss,Chaos
3,ChuChu_Island,Papulatus,Chaos
3,ChuChu_Island,Lotus,Normal
3,ChuChu_Island,Damien,Normal
3,YumYum_Island,Root_Abyss,Chaos
3,YumYum_Island,Papulatus,Chaos
3,YumYum_Island,Lotus,Normal
3,YumYum_Island,Damien,Normal
3,Lachelein,Lotus,Normal/Hard
3,Lachelein,Damien,Normal/Hard
3,Lachelein,Lucid,Easy
3,Arcana,Lotus,Normal/Hard
3,Arcana,Damien,Normal/Hard
3,Arcana,Lucid,Easy/Normal
3,Arcana,Guardian_Angel_Slime,Normal
3,Morass,Lotus,Normal/Hard
3,Morass,Damien,Normal/Hard
3,Morass,Lucid,Normal/Hard
3,Morass,Guardian_Angel_Slime,Normal/Chaos
3,Esfera,Lucid,Normal/Hard
3,Esfera,Guardian_Angel_Slime,Normal/Chaos
3,Esfera,Will,Easy/Normal
3,Sellas,Lucid,Hard
3,Sellas,Guardian_Angel_Slime,Chaos
3,Sellas,Will,Easy/Normal
3,Moonbridge,Will,Easy/Normal
3,Moonbridge,Dusk,Normal/Hard
3,Labyrinth_Of_Suffering,Will,Hard
3,Labyrinth_Of_Suffering,Dusk,Normal/Hard
3,Labyrinth_Of_Suffering,Jin_Hilla,Normal/Hard
3,Limina,Will,Hard
3,Limina,Dusk,Hard
3,Limina,Jin_Hilla,Normal/Hard
3,Limina,Dunkel,Normal/Hard
