Region,DisplayName,RUID
Henesys,헤네시스,e789d44d90e5487babb315048b2a22c6
Perion,페리온,7564d70663f04e2fa5bb79284d98f4f7
Orbis,오르비스,bac1ddda1b554eb68fb71bfd9cc5f26d
Ludibrium,루디브리엄,73fa2288f4b84f31b52fd9a229a36f15
Rootabyss,루타비스,d654a1a5ed6644fabbdfa2bac43a0916
Temple_of_Time,시간의 신전,1ef639c3a0e14cbc984c5d8de81e2a01
Ruined_Henesys,파괴된 헤네시스,4982389bcb6c419b8355e4ca10f1f311
Vanishing_Journey,소멸의 여로,7f77772726f04ea8ba121812feb52190
ChuChu_Island,츄츄 아일랜드,71b1c42f507d4acc8020bd4c8c54dc47
Lachelein,레헬른,38859dcf0ff443d8a30c048796bfbdb9
Arcana,아르카나,6653685601534858b1c682529f8ba808
Morass,모라스,c51672642c734ac6a7c52cb5e705547f
Esfera,에스페라,17a836497e734f8bbdb9bb276c59c746
Moonbridge,문브릿지,968c312187214d57a923f98457be026e
Labyrinth_Of_Suffering,고통의 미궁,ea0294792e7a42999828335744917de6
Limina,리멘,9117607a63c942d7b6e821b00a5b7f0b
