Stage,Region,HuntingGround,Monster,MonsterRUID,Weight,StatKind,Times,Values
1,Henesys,헤네시스 사냥터1,빨간 달팽이,1371f44b1ce643e185ebf5396bddaaf7,10,all,30분|1시간|2시간,5|10|20
1,Henesys,헤네시스 사냥터1,파란 달팽이,0c69164656d24f64bd1a1f6ee4019dff,10,all,30분|1시간|2시간,3|6|12
2,Henesys,헤네시스 사냥터1,주황버섯,6d381bea1bcb4504b518a1fbfa0904ac,10,main,30분|1시간|2시간,7|14|25
2,Henesys,헤네시스 사냥터2,리본돼지,6a699b8c31b94474bb795c7394c3af3b,10,main,30분|1시간|2시간,7|14|25
2,Henesys,헤네시스 사냥터3,슬라임,72fc26baf0fe4a24aea38b8b061d9178,10,main,30분|1시간|2시간,9|16|28
2,Perion,페리온 사냥터1,와일드보어,af64c62c1dcf427998c3c52f0a060fec,10,main,30분|1시간|2시간,9|16|28
2,Perion,페리온 사냥터2,스텀프,cf2a470436cd4b2aa265648e15198c45,10,main,30분|1시간|2시간,9|16|28
2,Orbis,오르비스 사냥터1,스타픽시,ca136923b7e84267af993bdbabada385,10,main,30분|1시간|2시간,12|24|35
2,Orbis,오르비스 사냥터2,주니어 샐리온,cdb6356c456f4234a509cd74740c1a70,10,main,30분|1시간|2시간,12|24|35
2,Ludibrium,루디브리엄 사냥터1,브라운테니,46fd51a318b64738a36beeb3db02a970,10,main,30분|1시간|2시간,15|28|40
2,Ludibrium,루디브리엄 사냥터2,블록퍼스,c2931ff5274f47369e8c50b26c7eb5e0,10,main,30분|1시간|2시간,15|28|40
2,Ludibrium,루디브리엄 사냥터3,로보토이,ac8a09b2038445539daebd786d5c6b81,10,main,30분|1시간|2시간,17|30|42
2,Lion_Kings_Castle,사자왕의 성 사냥터1,문지기 크로키,65d2d70814834567965a2630978f8b55,10,main,30분|1시간|2시간,20|38|62
2,Rootabyss,루타비스 사냥터1,파이어 임프,60cc7fd9511245c5986a54bf7ff5ba58,10,main,30분|1시간|2시간,22|40|70
2,Temple_of_Time,시간의 신전 사냥터1,추억의 사제,36ff7a667243465caef855b4fb7b9f84,10,main,30분|1시간|2시간,22|40|70
2,Temple_of_Time,시간의 신전 사냥터2,후회의 사제,2e24e2fe30464af4b609d6fb86fddd2b,10,main,30분|1시간|2시간,22|40|70
2,Ruined_Henesys,파괴된 헤네시스 사냥터1,변형된 달팽이,be8403cdd1534522ac060ec8497371cd,10,main,30분|1시간|2시간,25|50|90
2,Ruined_Henesys,파괴된 헤네시스 사냥터2,변형된 주황버섯,72094cb8339f4a7f9b43dce582ca5ed7,10,main,30분|1시간|2시간,25|50|90
3,Vanishing_Journey,소멸의 여로 사냥터1,기쁨의 에르다스,1e05a2aad3314c5ea6d05624693feccc,10,main,30분|1시간|2시간,50|80|130
3,ChuChu_Island,츄츄 아일랜드 사냥터1,대장 라이터틀,cdd423fef1664f0088c5fd5035bf0c7b,10,main,30분|1시간|2시간,60|100|160
3,Lachelein,레헬른 사냥터1,갈리나,9cd156b021944812adee08038f82731f,10,main,30분|1시간|2시간,90|150|200
3,Arcana,아르카나 사냥터1,혼돈의 정령,f3a8358f9e2045c49e79e0de4882d5c5,10,main,30분|1시간|2시간,100|170|220
3,Morass,모라스 사냥터1,붉은 그림자,f96c27045e604f7187a3a8786d4945e1,10,main,30분|1시간|2시간,110|180|230
3,Esfera,에스페라 사냥터1,아라냐,ae6536355e314c5ab74d3f94586ef26b,10,main,30분|1시간|2시간,120|190|240
3,Moonbridge,문브릿지 사냥터1,황혼의 하수인,1c8c4ee4204e46889bac84e87188e385,10,main,30분|1시간|2시간,130|200|250
3,Labyrinth_Of_Suffering,고통의 미궁 사냥터1,절망에 빠진 자,383daf25de54428a87e367bc8c3fb57e,10,main,30분|1시간|2시간,140|210|260
3,Limina,리멘 사냥터1,엠브리온,7ff29fc93f874388a5fc3726594b5723,10,main,30분|1시간|2시간,150|220|270
