Stage,Region,Weight,ImageKind,TargetKey,StatKind,StatMode,StatGain,DropReward_1,DropReward_2,DropReward_3,Text
2,Henesys,10,monster,Orange_Mushroom,main,flat,5,,,,"사냥하던 중, 어두운 기운과 함께 강력한 몬스터가 출현했다!\n강력한 몬스터를 처치하여 주스탯이 5만큼 올랐다."
2,Henesys,10,npc,MingMing,main,flat,5,,,,"사냥하던 중, 지나가던 밍밍부인이 밥 먹고 하라며 요리를 건네주었다!\n냠냠 너무 맛있다! 힘이 넘쳐 사냥을 열심히 할 수 있었다!\n주스탯이 5만큼 올랐다."
2,Perion,10,monster,X_Stump,main,flat,5,,,,"사냥하던 중, 어두운 기운과 함께 강력한 몬스터가 출현했다!\n강력한 몬스터를 처치하여 주스탯이 5만큼 올랐다."
2,Orbis,10,monster,Nependeath,main,flat,7,,,,"사냥하던 중, 어두운 기운과 함께 강력한 몬스터가 출현했다!\n강력한 몬스터를 처치하여 주스탯이 7만큼 올랐다."
2,Ludibrium,10,monster,Robo,main,flat,10,,,,"사냥하던 중, 어두운 기운과 함께 강력한 몬스터가 출현했다!\n강력한 몬스터를 처치하여 주스탯이 10만큼 올랐다."
2,Lion_Kings_Castle,10,monster,Bearwolf,main,flat,15,,,,"사냥하던 중, 어두운 기운과 함께 강력한 몬스터가 출현했다!\n강력한 몬스터를 처치하여 주스탯이 15만큼 올랐다."
2,Rootabyss,10,npc,Alisia,attack,percent,3,,,,"사냥하던 중, 알리샤가 힘을 내라며 축복을 내려주었다!\n공격력/마력이 3% 올랐다."
2,Temple_of_Time,10,monster,Oblivion_Monk,main,flat,20,,,,"사냥하던 중, 어두운 기운과 함께 강력한 몬스터가 출현했다!\n강력한 몬스터를 처치하여 주스탯이 20만큼 올랐다."
2,Ruined_Henesys,10,monster,Mutant_Slime,main,flat,25,,,,"사냥하던 중, 어두운 기운과 함께 강력한 몬스터가 출현했다!\n강력한 몬스터를 처치하여 주스탯이 25만큼 올랐다."
3,Vanishing_Journey,10,monster,Black_Crescendo_Slime,main,percent,3,,,,"사냥하던 중, 어둠 속에서 점차 성장하는 블랙 크레센도 슬라임이 나타났다!\n강력한 몬스터를 처치하여 주스탯이 3%만큼 올랐다."
3,ChuChu_Island,10,monster,Shadow_Butterflies,main,percent,3,,,,"사냥하던 중, 어둠 속에서 그림자 나비 떼들이 몰려왔다!\n강력한 몬스터를 처치하여 주스탯이 3%만큼 올랐다."
3,Lachelein,10,npc,GasMask,attack,percent,9,,,,"사냥하던 중, 방독면이 나에게 도움이 되는 약을 전해주었다!\n약을 먹으니 강력한 힘이 나는 것 같다! 공격력이 9%만큼 올랐다."
3,Arcana,10,monster,Dark_Wolf,main,percent,5,,,,"사냥하던 중, 어둠에 숨어있던 어둠 늑대가 나타났다!\n강력한 몬스터를 처치하여 주스탯이 5%만큼 올랐다."
3,Morass,10,monster,Dark_Gargoyle,main,percent,12,,,,"사냥하던 중, 어둠 속에서 다크 가고일이 나타났다!\n강력한 몬스터를 처치하여 주스탯이 12%만큼 올랐다."
3,Esfera,10,monster,Killer_Bee,attack,percent,9,,,,"사냥하던 중, 어둠에 숨어있던 킬러 비가 나타났다!\n강력한 몬스터를 처치하여 공격력/마력이 9%만큼 올랐다."
3,Moonbridge,10,npc,Cygnus,attack,percent,12,,,,"사냥하던 중, 시그너스가 나에게 지원군을 보내주었다!\n지원에 힘입어, 몬스터를 많이 물리칠 수 있었다!\n공격력/마력이 12% 올랐다."
3,Labyrinth_Of_Suffering,10,monster,Mokadin,attack,percent,15,,,,"사냥하던 중, 어두운 기운에 타락한 모험가가 출현했다!\n강력한 적을 처치하여 공격력/마력이 15%만큼 올랐다."
3,Limina,10,monster,Kariain,attack,percent,15,,,,"사냥하던 중, 어두운 기운에 타락한 모험가가 출현했다!\n강력한 적을 처치하여 공격력/마력이 15%만큼 올랐다."
