Stage,Region,Tier,Type,MonsterName,Weight
2,Henesys,1,Hunt,Orange_Mushroom,10
2,Henesys,1,Hunt,Ribbon_Pig,10
2,Henesys,1,Hunt,Slime,10
2,Perion,1,Hunt,Wild_Boar,10
2,Perion,1,Hunt,Skeledog,10
2,Perion,1,Hunt,Stump,10
2,Orbis,2,Hunt,Star_Pixie,10
2,Orbis,2,Hunt,Jr_Cellion,10
2,Orbis,2,Hunt,Nependeath,10
2,Sahel_Desert,2,Hunt,Sand_Mole,10
2,Sahel_Desert,2,Hunt,Red_Sand_Dwarf,10
2,Magatia,2,Hunt,Cube_Slime,10
2,Magatia,2,Hunt,Rumo,10
2,Magatia,2,Hunt,Roid,10
2,Leafre,3,Hunt,Rash,10
2,Leafre,3,Hunt,Beetle,10
2,Leafre,3,Hunt,Harp,10
2,Ludibrium,3,Hunt,Brown_Teddy,10
2,Ludibrium,3,Hunt,Bloctopus,10
2,Ludibrium,3,Hunt,Robo,10
2,Lion_Kings_Castle,4,Hunt,Crocky_the_Gatekeeper,10
2,Lion_Kings_Castle,4,Hunt,Blood_Reindeer,10
2,Lion_Kings_Castle,4,Hunt,Bearwolf,10
2,Rootabyss,4,Hunt,Blazing_Imp,10
2,Temple_of_Time,4,Hunt,Memory_Monk,10
2,Temple_of_Time,4,Hunt,Qualm_Monk,10
2,Temple_of_Time,4,Hunt,Oblivion_Monk,10
2,Ruined_Henesys,5,Hunt,Mutant_Snail,10
2,Ruined_Henesys,5,Hunt,Mutant_Orange_Mushroom,10
2,Ruined_Henesys,5,Hunt,Mutant_Slime,10
2,Henesys,1,HuntPlus,Flaming_Mixed_Golem,10
2,Perion,1,HuntPlus,Commander_Skeleton,10
2,Orbis,2,HuntPlus,Jr_Pepe,10
2,Magatia,2,HuntPlus,Neo_Huroid,10
2,Sahel_Desert,2,HuntPlus,Scorpion,10
2,Leafre,3,HuntPlus,Skelegon,10
2,Ludibrium,3,HuntPlus,Viking,10
2,Lion_Kings_Castle,4,HuntPlus,Castle_Golem,10
2,Rootabyss,4,HuntPlus,Elite_Pointy_Imp,10
2,Temple_of_Time,4,HuntPlus,Chief_Oblivion_Guardian,10
2,Ruined_Henesys,5,HuntPlus,Mutant_Ribbon_Pig,10
1,Henesys,1,Hunt,Snail,10
