Name,Region,DisplayName,SpriteRUID
Sugar,Both,슈가,ae0fcb29c7024e8a9ce53b52056cbbf9
Helena,Village,헬레나,c2f1fba91bd646618dbeeb15413956ec
Bigs,Unlucky,빅스,8d700b69a7494c06b22aff5aa4d5d59c
Stan,Village,스탄 장로,d36a26c2f09e40c1adc8cc11fbf2b803
Manji,Village,만지,5d04967905c147bc8261c537c7e31805
Statue,Village,여신의 조각상,6f680fb89f9d436288e99b124958b0cc
Kaho,Village,공장장 카호,dcf559f0c69f4e86b67ccff491640f6c
Iphia,Village,이피아,ff008eed2c554318a89ab70c9cbfe343
Alisia,Village,알리샤,7fb3d4f16e4746a5808cd6841a7aa4ff
TempleKeeper,Village,신전관리인,dd60c56950ee4fbd9b8c32a1175905f3
Alex,Village,알렉스 장로,80515b5fad35447b82df49c702d50486
Goldrich,Both,골드리치,ef06a727466247d5ba44802a51f24086
Pia,Unlucky,피아,a02c361c3b4a43c1b276531234cacc1f
Criel,Unlucky,요정 크리엘,24aebae91e2b4838a703c159d5c37343
MrPierrot,Unlucky,Mr.피에로,a49be81d6b2143cf8371ba6866ba8f34
Cecilia,Unlucky,세실리아,1cd644af8cad472ca4615f38b6b166ca
Patrick,Unlucky,패트릭 드 블랑,ff9d490de20b4a09bf37043e7fc6d041
Alchemist,Unlucky,마법제련술사,b827a4a76ab64ef99231d3df9b22d4c3
Informant,Unlucky,정보원,e17c6be9bdd346dc9adffbe46d020f4c
Orange_Mushroom,HuntPlus,주황버섯,6d381bea1bcb4504b518a1fbfa0904ac
MingMing,HuntPlus,밍밍부인,c35aa5c9cee94ff48fbd3f2b001de5e5
X_Stump,HuntPlus,엑스텀프,9d4f9e8f572548f692438ffa817eb52d
Nependeath,HuntPlus,네펜데스,b9886ad21df84e8ea5098e814f3d5a42
Robo,HuntPlus,로보토이,ac8a09b2038445539daebd786d5c6b81
Bearwolf,HuntPlus,베어울프,25d8b0a52a764fb99f83e46b73bdf843
Oblivion_Monk,HuntPlus,망각의 사제,84e1e506e2c84a5e8d25ced8a53223b7
Mutant_Slime,HuntPlus,변형된 슬라임,469029a5272a4b6d8cc26e1394824d13
