Stage,Map,Tier,MonsterName,PresetName,SpriteRUID,MOVE,STAND,JUMP,HIT,DIE,ATTACK,SKILL,ATTACK2,ATTACK3,REGEN
2,Henesys,1,Orange_Mushroom,monster-1491,6d381bea1bcb4504b518a1fbfa0904ac,573fe938562a4abf91eebf951f21afd5,6d381bea1bcb4504b518a1fbfa0904ac,59823e146a034e48b8667ebb6f0724b1,642ece38d8d449b29ce4479100e37a54,3c99d6b9b89b4295a9c2749eb02e28e9,,,,,
2,Henesys,1,Ribbon_Pig,monster-3455,6a699b8c31b94474bb795c7394c3af3b,efd4d44e0da7496bac4c350def33a108,6a699b8c31b94474bb795c7394c3af3b,a09f56642db6409b8a41bb97106425db,ee7bf6fc53fc48df82db872d8827310a,77f8f34df8cc4ba6ae188fd2f1b28bc4,,,,,
2,Henesys,1,Slime,monster-4199,dd9de73d580240faab8cad03b587013b,3c61d6bfa8ba4b5e8a1674816037c9d2,72fc26baf0fe4a24aea38b8b061d9178,e307f497944c430aa7b6ec2f8ff5c09f,592df23466864bf68842a7d4372cf05f,c48d8af8c0b14b52876e5844607a7782,,,,,
2,Perion,1,Wild_Boar,monster-1844,af64c62c1dcf427998c3c52f0a060fec,a11cef0c68bf47149f2f5703a04926fd,af64c62c1dcf427998c3c52f0a060fec,dc89d27986204b4a970026e1fb174fde,76b4c7a5c6ec4a4eb3b08e23872f16a5,0211fb67c56b4a738b2de3810a7e4509,,,,,
2,Perion,1,Skeledog,monster-2456,0ac80dbfd4e54d908caa008988b035e8,7f98c35b97094dde89a486465434c9ce,0ac80dbfd4e54d908caa008988b035e8,587ad773317741b5a15217cdb7e7c72b,52a6674ba5624d78b2ebe69cc2a9d94c,9f7f1c603522422984c1e4cf633101a2,,,,,
2,Perion,1,Stump,monster-621,cf2a470436cd4b2aa265648e15198c45,d5de0c972d044d3cad5d0ecb7d8c96e7,cf2a470436cd4b2aa265648e15198c45,,755abcabb6504879ad91a62797756950,61a099877bda46309d038afe28acf9f0,,,,,
2,Orbis,2,Star_Pixie,monster-2600,ca136923b7e84267af993bdbabada385,a25f27e01d7446c6910550d595ef08b6,ca136923b7e84267af993bdbabada385,6128b714a94c431a88ef0a06d5c40644,0c9e55cecc774a4290c10590358b9b4d,0c9e55cecc774a4290c10590358b9b4d,,,,,
2,Orbis,2,Jr_Cellion,monster-1520,cdb6356c456f4234a509cd74740c1a70,dbe27b3e9d99467f8e392be349819a67,cdb6356c456f4234a509cd74740c1a70,c522c4e92c6842f885b5d47df2ae85cf,5809445fc7484e25a58c85aa67b0fecd,e0394c81728042b4a06b6aaf9ac30435,,,,,
2,Orbis,2,Nependeath,monster-3136,b9886ad21df84e8ea5098e814f3d5a42,(regen 애니메이션이 있음),b9886ad21df84e8ea5098e814f3d5a42,,1893ee8177e24945a1cb8b2b2b560992,9645842851a24962ab15bea8ff2b8cb6,bf39373fe4b84bf286ac61d304e69465,,,,fc33291343234ccbb4db3b09f77b6af9
2,Sahel_Desert,2,Sand_Mole,monster-994,c6df515cbe0748038dab14361749b57c,8748561fda1241a09905472bb1fc1b7b,c6df515cbe0748038dab14361749b57c,,60adfa7b25d94f0280a71764728ebd8f,b516a880263d4f3a998a62e7ea351b91,,,,,
2,Sahel_Desert,2,Red_Sand_Dwarf,monster-3537,52a2f53720f54758bd1c081d42898aa9,65b83855ff0f412487911b6c0ea9bc24,52a2f53720f54758bd1c081d42898aa9,,162b7cd5def94d76a4eabc8aa7ddb0f5,831c113dbe1d4947928ca5db0e25c850,0c9ae1646b884ffa8f071735ad20941e,,,,
2,Magatia,2,Cube_Slime,monster-299,e93e27480f1043ef8e51fa3b0906a4d9,4a141fc777a14395b6af8444cef50d73,e93e27480f1043ef8e51fa3b0906a4d9,,8d69bfe6ca074f12b51f7703b32d885f,5fddbc2a267f463cb513cdd4d0b6b88d,,,,,
2,Magatia,2,Rumo,monster-1851,09194910f411440b85314028fbd456b1,7cf797721f31409e94f373cf5e25f4c2,09194910f411440b85314028fbd456b1,,44bfff3906994f399275006e58f515dd,4462f48aec7945e89c42e77a953c2383,,,,,
2,Magatia,2,Roid,monster-847,364bc76e0cc3429ea8ca758319ec7678,839a58c5ea2e47399f9166d2b034fbd6,364bc76e0cc3429ea8ca758319ec7678,,c3600a2a2423490f9206bc4f39c88577,863c7c2f0e9a4a788c451ddbf09f59c1,,,,,
2,Leafre,3,Rash,monster-342,24a787738ed541b89986c463ab101f64,eaac0b68462f4935b9f9d1e7a3afc332,24a787738ed541b89986c463ab101f64,,8cce71ecc146471aa5bb6ad3074676f0,5e152c0ae0904ed294de6b24b949143e,321200dfabbf4970bf3ee9b0b17c0c92,0b2a0bb12c1e4dc9be81f0157ee815bc,,,
2,Leafre,3,Beetle,monster-3270,f6b8cdc8cf9b4fa19cdf884a4b450cce,e58c5fd852534b31915a96cae3d14013,f6b8cdc8cf9b4fa19cdf884a4b450cce,,0ddaf0c315e6464bbb208e22b68efe12,a96bf0a97cd24da9b1fffbeaa8279e45,3db96105da744cbcb862c1bad11fd9c2,ec83218fe0e84354b2e16d87f128baff,,,
2,Leafre,3,Harp,monster-380,1dd21504373046d19df1448df8f3b3e2,a5c6d6e76bba433d8e29d35fcd0139c5,1dd21504373046d19df1448df8f3b3e2,,fce0117cffc34f0c85d25fc6d53efec1,62fd9352891442e79ccc5a5d91d9a6ce,cfe4066b90084053a80643560248f9e3,,,,
2,Ludibrium,3,Brown_Teddy,monster-2402,46fd51a318b64738a36beeb3db02a970,dcdfa9fce83949229330906599350caa,46fd51a318b64738a36beeb3db02a970,cc45eb10fa144d69b0e9bfea82ac3ebf,5266f286ebc749198328728131670684,014e06210ad6433185b2d923520dd846,,,,,
2,Ludibrium,3,Bloctopus,monster-2274,c2931ff5274f47369e8c50b26c7eb5e0,eb92149edeca4d97bcee244dcaa0c9fe,c2931ff5274f47369e8c50b26c7eb5e0,6f93d137a32a46b3b3bdb6cd8c5b4477,0bf71491204e466a86e2ff1482682f3b,01ff7312407c464aabdbfe8f43264d7a,,,,,
2,Ludibrium,3,Robo,monster-2616,ac8a09b2038445539daebd786d5c6b81,69deb043ceed4c20a3d99c340c24a5c8,ac8a09b2038445539daebd786d5c6b81,,51523441a0444a419bf6d47700453808,b935a2c9ce5f4798900d1355d0b335ac,,,,,
2,Lion_Kings_Castle,4,Crocky_the_Gatekeeper,monster-2019,dc828bb30e7348a48a4226b36fa77eab,dc828bb30e7348a48a4226b36fa77eab,65d2d70814834567965a2630978f8b55,,3584b195842e4ff6b5b6cf3094f3b8e1,8a3707464f054795840c121fc707942a,19d2ec3306154e33b56932ea7407802f,,,,
2,Lion_Kings_Castle,4,Blood_Reindeer,monster-4319,a1ede7f02fa1476abb222340f3075065,a1ede7f02fa1476abb222340f3075065,597bb90420504877b079b1b8f5a0c8d3,,4a967f58ecdc4951b321ccdeaa05673e,8c75668cf661428abc40f572469a4ced,7719c18db8b74fd6910140cb85a5b3de,,,,
2,Lion_Kings_Castle,4,Bearwolf,monster-2706,c2d90895fc7c4e7b89fa5f3997ff03c9,c2d90895fc7c4e7b89fa5f3997ff03c9,25d8b0a52a764fb99f83e46b73bdf843,,65c38947d07549fda3bcc31be2917fa3,0d40d355bbbd4a388e44f3bce5814c41,410e72f1fb424e4b8ae12d09d67f7c66,,,,
2,Rootabyss,4,Blazing_Imp,monster-582,60cc7fd9511245c5986a54bf7ff5ba58,aa15f515fcd14be6b30736538ba28582,60cc7fd9511245c5986a54bf7ff5ba58,,03e2826daffa40ffb64f046c0cc46d59,428e518464534ea6a670b1625d05ad90,a6c459cf4ef04d4ca59d5a710ee75906,,,,
2,Temple_of_Time,4,Memory_Monk,monster-4559,fd234d210d06488cad1fc407a7cbf325,fd234d210d06488cad1fc407a7cbf325,36ff7a667243465caef855b4fb7b9f84,,89f5b13f03c94fb997c1df84f1598727,c98a45db37bf458d8df01756d60f57e3,772be412224c42f29650c7516628ae5a,,,,
2,Temple_of_Time,4,Qualm_Monk,monster-4576,739c8110c16246978a62113c617cc50d,739c8110c16246978a62113c617cc50d,2e24e2fe30464af4b609d6fb86fddd2b,,7833ae3fd2bd4c10aabb88c0dedf5b27,adcb0dada1214e2ca2c4c0fb9d37453c,f2cc0de0e7af4503be8f89edcb63d88e,,,,
2,Temple_of_Time,4,Oblivion_Monk,monster-4500,ccba9e1c1c034789a844c5c74635ca86,ccba9e1c1c034789a844c5c74635ca86,84e1e506e2c84a5e8d25ced8a53223b7,,91d0c37b74ad4ac1850fb3259d9ba865,50775515ee0f47dd809e115a3acbe264,a718b2bc76ed451e8e5a20cebe450466,,,,
2,Ruined_Henesys,5,Mutant_Snail,monster-2145,1e24c789979b4ababce55b34861ace25,1e24c789979b4ababce55b34861ace25,be8403cdd1534522ac060ec8497371cd,,7200391494bb4dea8109202bb3e2cf47,c5d61976c96c4130903ab227c7bf72ce,11eb051bbc134831851e8764befc155e,220a397a05f4460395721591cdcc023d,,,
2,Ruined_Henesys,5,Mutant_Orange_Mushroom,monster-92,3f531938fadf455eaa295e0ad9bfaaba,3f531938fadf455eaa295e0ad9bfaaba,72094cb8339f4a7f9b43dce582ca5ed7,,215b36febb6a4ccda7db918ab1472d5a,12fdc9abfc48426489660bf3bf394338,c88510248d6e4f7186a7ef7558b626d7,43a8eb6ee5a34634bac3cb4c1298df88,,,
2,Ruined_Henesys,5,Mutant_Slime,monster-2100,efd954aee2d2487a8a312cbbce7fbfaa,efd954aee2d2487a8a312cbbce7fbfaa,469029a5272a4b6d8cc26e1394824d13,,8b48d4a1a8a345b1a59f6836f072254a,f90b53fda8d244e79a29b97b25632afd,913415f34ec24e0c9f3d95e77b2808d3,91800805e57241548bc8f4efc62716c1,,,
2,Henesys,1,Flaming_Mixed_Golem,monster-2095,ab541ad30d4a409484377dfe112740af,ab541ad30d4a409484377dfe112740af,c2a3c3ba031440c9bb41884706d71ebc,,,7a5f84d6172f41ee99290d3ab87b8c30,,3ed454eeff394d3f8db37bb80a553aa7,,,
2,Perion,1,Commander_Skeleton,monster-1481,ed882269a5d543318ad73e7032632960,94003c3d90dd4fd4866c725b29704169,ed882269a5d543318ad73e7032632960,,fcdeaaece999433587fd7a953758ae8e,2d11a182fb8948aa91fa9000118eb9bf,,791b405fbab44bf1a914043ca29a1848,,,
2,Orbis,2,Jr_Pepe,monster-2339,3109357701ae41a4bcc7543f52f1f4c3,57e2799fd645478d80466cce36bb17ab,3109357701ae41a4bcc7543f52f1f4c3,,ce0269079e884545b5bb6ea075e2a67f,a5e65650e00e47878cac1be7a5b999a0,,,,,
2,Magatia,2,Neo_Huroid,monster-237,54718957c7a740bca3074c2baebcacaa,93b3c660cd2042038021509cdc698e8e,54718957c7a740bca3074c2baebcacaa,,0e8e434b074445f6841d7e2500309804,e662ad498d874c5ebbab31a139c4a0cc,40f4acbf04eb4ed78ae338e0e309f496,,,,
2,Sahel_Desert,2,Scorpion,monster-2103,104d8a020fc946e4842db8ad83ec21e2,e7ca399b68684827a76e888dbd027f15,104d8a020fc946e4842db8ad83ec21e2,,1d0fe3009ac74c62a8e54c3f7fdccd21,2bf6cd21cda34b59a8804fef805e5913,,,,,
