Stage,Region,NPC,Weight,PlayerAnim,Reward,Text
1,Henesys,Bigs,10,idle,all:-1,"본격적인 모험을 즐기기 위해 헤네시스에 가려고 한다!\n헤네시스에 가려면 배를 타야 하는데, 빅스가 앞으로 가로막았다.\n\n배를 타기 위해서는 빅스에게 통행세를 내야 한다고 한다.\n예상에 없던 지출을 해야해서 우울해졌다.\n올스탯이 1만큼 감소했다."
1,Henesys,Sugar,10,idle,all:-1,"""슈가와 오전 훈련을 마치고 집으로 돌아가는 길에 멋진 풍경을 발견했다!\n넋을 잃고 바라보다 그만 나뭇가지에 발이 걸려 넘어졌다.\n\n너무 아프다! 오후 훈련을 못하게 되었다.\n올스탯이 1만큼 감소했다."""
2,Henesys,Pia,10,idle,main:-3,"헤네시스를 걷던 중, 도움을 요청하는 목소리가 들려왔다!\n다급히 달려갔더니, 피아가 곰에게 잡아먹히고 있었다!\n\n황급히 곰을 떼어내려고 한 순간, 피아가 장난이라며 곰모양 인형탈을 벗었다.\n큰일이 아니라서 다행이었지만, 너무 놀라 다리가 후들거렸다.\n주스탯이 3만큼 감소했다."
2,Orbis,Criel,10,idle,main:-5,"""상인을 찾으려다 길을 잃어버렸다!\n길을 묻기 위해 근처에 있는 요정 크리엘에게 말을 걸었다.\n\n크리엘은 내가 말을 걸자마자 화를 내며 떨어지라고 소리쳤다!\n요정을 무시하지말라며 5시간동안 화를 내다 사라졌다...\n주스탯이 5만큼 감소했다."""
2,Ludibrium,MrPierrot,10,idle,main:-5,"루디브리엄의 시계탑을 구경하다, 앞에서 달려오는 누군가와 부딪혔다!\n나와 부딪힌 Mr.피에로는 들고 있던 시간의 구를 떨어뜨리고 말았다.\n\n시간의 구를 깨뜨리자, 봉인되었던 파풀라투스가 깨어났다!\n나는 Mr.피에로를 도와 간신히 파풀라투스를 다시 봉인하였다.\n\n다음부터는 앞을 잘 살피며 걸어야겠다...\n주스탯이 5만큼 감소했다."
2,Lion_Kings_Castle,Cecilia,10,idle,main:-5,"사자왕의 성을 둘러보다 이피아의 장미정원에 도착했다!\n장미가 너무 이뻐 한참을 둘러보았다.\n\n친구에게 하나 전해주고 싶어 장미를 딴 순간, 뒤에서 화를 내는 소리가 들려왔다!\n정원사 세실리아가 귀한 장미를 왜 따냐며 크게 화를 내었다.\n\n계속해서 사과하며 하루종일 세실리아를 위해 정원 일을 도왔다...\n주스탯이 5만큼 감소했다."
2,Rootabyss,Patrick,10,idle,main:-7,"루타비스에서 사냥을 하고 나온 순간, 패트릭이 나에게 말을 걸어왔다!\n좋은 물건이 있는데 사지 않겠냐며 나에게 물어왔다.\n\n나는 고민을 하다 비상금을 털어 수상한 약초 주머니를 구매했다!\n두근두근 무엇이 들어있을까...\n\n아뿔사! 주머니에는 다 시들어가는 약초들만 들어있었다!\n다음에는 더 신중하게 구매해야겠다...\n주스탯이 7만큼 감소했다."
2,Temple_of_Time,Alchemist,10,idle,main:-7,"망각의 길을 가기 위해 길을 가던 중, 마법제련술사가 말을 걸어왔다!\n나에게 신비한 약을 사지 않겠냐고 제안했다.\n\n어떤 약인지 물었더니, 죽어가는 감정을 다시 살릴 수 있는 약이라고 했다!\n어쩐지 신비로워 보여, 약을 사서 단숨에 들이켰다!\n\n처음에는 괜찮았는데 시간이 지날수록 점점 배가 아파왔다...\n그렇게 7일을 꼼짝도 못하고 누워있어야만 했다.\n주스탯이 7만큼 감소했다."
2,Ruined_Henesys,Informant,10,idle,main:-10,"몬스터를 사냥하던 중, 수상한 정보원이 말을 걸어왔다!\n자신이 기사단의 정보원이라며, 나인하트가 은밀히 나를 불렀으니 자신을 따라오라고 했다.\n\n정보원을 따라가던 중, 수상한 장소에 도착했다!\n거기에는 수많은 흑화한 시그너스 기사단이 포진해 있었다...\n\n나는 간신히 그곳을 빠져나와 마을로 돌아왔다.\n다음에는 더 신중히 사람을 살펴봐야겠다...\n주스탯이 10만큼 감소했다."
3,Vanishing_Journey,Lona,10,idle,main:-10,"오랜만에 깊은 잠을 잤다!\n그런데 무언가를 잊은 것만 같다...\n\n아차! 로나와의 약속을 잊고 있었다!\n황급히 마을로 달려가니, 로나는 잔뜩 화난 얼굴로 서있었다.\n\n그로부터 3시간동안 로나에게 시간의 중요성에 대해 설교를 들었다...\n주스탯이 10만큼 감소했다."
3,ChuChu_Island,Muto,10,idle,attack:-10,"시미아가 나에게 무토가 먹을 요리를 배달해달라고 부탁했다!\n나는 흔쾌히 시미아가 건네준 요리를 들고 무토에게로 향했다.\n\n무토는 시미아의 요리를 맛있게 먹었다!\n어찌나 맛있었는지, 양팔을 휘두르다가 내가 잘못 맞아 강으로 빠져버렸다!\n\n무토는 무척 미안해하며 나를 강에서 건져주었다.\n다음부터는 나도 조심해야겠다...\n공격력/마력이 10만큼 감소했다."
3,Lachelein,Elizabeth,10,idle,main:10;attack:-5,"레헬른 골목 끝자락에서 도망친 엘리자베스를 발견했다!\n엘리자베스가 눈치채지 못하게 조심히 다가가야겠다...\n\n살금살금 걷고 있었는데, 그만 돌에 발이 걸려버렸다!\n꽈당 소리를 내며 넘어지자, 엘리자베스는 깜짝 놀라 멀리 도망가버렸다.\n\n그렇게 많은 시간을 다시 엘리자베스를 찾는데 소비했다.\n다음부터는 조심성을 길러야겠다...\n주스탯이 10만큼 오르고 공격력/마력이 5만큼 감소했다."
3,Arcana,SmallSpirit,10,idle,main:-10;cube:3,"""나무 위에서 울고 있는 조그만 정령을 발견했다!\n위로해주기 위해 나도 나무 위로 올라갔다.\n\n위로를 받은 조그만 정령은 다시 미소를 되찾고 나무 아래로 내려왔다.\n나도 조그만 정령을 따라 내려가려다 그만 착지를 잘못해 발목이 삐고 말았다!\n\n조그만 정령은 나를 치료해주며 위로의 선물을 건네주었다.\n주스탯이 10만큼 감소하고 미라클큐브(x3)을 얻었다."""
3,Morass,Researcher,10,idle,attack:-20,"오늘은 의문의 연구원의 연구를 돕는 날이다!\n목적지는 연구실 폐쇄구역이다.\n\n폐쇄구역에 들어가는 도중, 어쩐지 쎄한 기분이 들어 뒤를 돌아본 순간,\n그림자가 나를 향해 다가오고 있었다!\n\n나는 기겁하여 트뤼에페 광장으로 되돌아 왔다!\n연구원에게는 미안하지만, 오늘은 연구를 돕지 못할 것 같다고 전했다...\n공격력/마력이 20만큼 감소했다."
3,Esfera,Olly,10,idle,main:-20,"올리와 거울에 비친 빛의 신전을 방문했다!\n\n신전을 돌아보던 와중, 올리와 멀리 떨어지게 되어\n빨리 쫓아가고자 달려가다가 그만 거울에 부딪히고 말았다!\n\n아이고 아파라!\n주스탯이 20만큼 감소했다."
3,Moonbridge,Helena;Helena;Nineheart,10,idle,main:30;attack:-20,"오랜만에 헬레나 교관님과 만나게 되었다!\n교관님과 밝은 얼굴로 인사를 나눴다.\n\n너무 반가운 나머지, 시간이 가는지 모르고 안부를 나누다,\n그만 집합 시간에 늦어버리고 말았다!\n\n이다음 나인하트에게 불려가 크게 혼났다...\n주스탯이 30만큼 오르고 공격력/마력이 20만큼 감소했다."
3,Labyrinth_Of_Suffering,Azalyn,10,idle,main:-20,"""고통의 미궁에서 아잘린이라는 병사를 만났다!\n아잘린은 자신이 미궁을 안내하겠다며 나를 이끌고 갔다.\n\n하지만 아무리 돌아다닐 수록 더 깊은 곳으로 빠져드는 것 같다...\n정신을 차리고 보니 아잘린은 온데간데 없었다!\n\n기억을 더듬으며 다시 처음 있던 곳으로 돌아왔다...\n주스탯이 20만큼 감소했다."""
3,Limina,,10,idle,attack:30,"검은 마법사와 전투를 앞둔 이때,\n더이상 불행에 빠져있을 수는 없다!\n\n나는 다시금 검은 마법사에 대한 전투 의지를 불태웠다.\n공격력이 30만큼 올랐다."
