EventId,Stage,Region,NPC,Weight,FirstScene
HEN_SUGAR_01,1,Henesys,Sugar,10,1
HEN_SUGAR_02,1,Henesys,Sugar,10,1
HEN_SUGAR_03,1,Henesys,Sugar,10,1
HEN_HELENA_01,2,Henesys,Helena,10,1
HEN_STAN_01,2,Henesys,Stan,10,1
PER_MANJI_01,2,Perion,Manji,10,1
ORB_STATUE_01,2,Orbis,Statue,10,1
LUD_KAHO_01,2,Ludibrium,Kaho,10,1
LKC_IPHIA_01,2,Lion_Kings_Castle,Iphia,10,1
ROOT_ALISIA_01,2,Rootabyss,Alisia,10,1
TOT_KEEPER_01,2,Temple_of_Time,TempleKeeper,10,1
RUIN_ALEX_01,2,Ruined_Henesys,Alex,10,1
ALL_GOLDRICH_01,2,All,Goldrich,0,1
