BranchGroup,BranchKey,Weight,Label,NextScene,Reward,ResultText
SUGAR01_OFFER,accept,0,수락한다,3,,
SUGAR01_OFFER,decline,0,거절한다,,,
SUGAR01_TRAIN,success,70,,,all:10,"""힘들었던 훈련 시간이 끝났다.\n슈가와 훈련을 성공적으로 마쳤다!\n\n슈가와의 훈련으로 더 성장한 것 같다!\n올스탯이 10만큼 올랐다."""
SUGAR01_TRAIN,great,30,,,all:10;attack:10,"슈가와의 훈련을 성공적으로 마쳤다!\n이번 훈련으로 깨달음을 얻은 것 같다!\n\n무기를 더 잘 휘두를 수 있게 되었다!\n올스탯이 10, 공격력/마력이 10만큼 올랐다."
SUGAR03_FRIENDS,tess,0,테스,31,,
SUGAR03_FRIENDS,olivia,0,올리비아,32,,
SUGAR03_FRIENDS,rondo,0,론도,33,,
SUGAR03_FRIENDS,mapleleaf,0,단풍잎,34,,
HELENA01_QUEST,accept,0,수락한다,3,,
HELENA01_QUEST,decline,0,거절한다,4,,
HELENA01_TRAIN,fail,10,,,attack:10,"""아쉽게도 주황버섯 100마리를 모두 잡지 못했다.\n헬레나 교관님은 괜찮다며 위로해주셨다.\n\n헬레나 교관님의 위로에 조금이나마 힘이 나는 것 같다!\n공격력/마력이 10만큼 올랐다."""
HELENA01_TRAIN,success,70,,,attack:20,"""주황버섯 100마리를 다 처치하였다!\n헬레나 교관님은 잘했다며 나를 칭찬하셨다.\n\n헬레나 교관님의 보상이 주어졌다!\n공격력/마력이 20만큼 올랐다."""
HELENA01_TRAIN,great,20,,,main:20;attack:20,"""주황버섯 100마리를 빠른 시간 안에 다 처치하였다!\n헬레나 교관님은 깜짝 놀라며 나를 칭찬하셨다.\n\n헬레나 교관님의 특별한 보상이 주어졌다!\n주스탯이 20만큼 오르고 공격력/마력이 20만큼 올랐다."""
STAN01_LETTER,accept,0,수락한다,3,,
STAN01_LETTER,decline,0,거절한다,4,,
MANJI01_DUEL,accept,0,수락한다,3,,
MANJI01_DUEL,decline,0,거절한다,4,,
STATUE01_PRAY,mine,0,나를 위한 기도,3,,
STATUE01_PRAY,all,0,모두를 위한 기도,4,,
IPHIA01_DOOR,open,0,열어본다,2,,
IPHIA01_DOOR,notopen,0,열지 않는다,3,,
IPHIA01_HELP,fail,20,,,,"""생각보다 몬스터들이 많은 탓에 이피아를 끝까지 호위하지 못하였다.\n이피아는 괜찮다며 자신이 다른 방법을 찾아본다고 하였다.\n\n이피아는 쓸쓸히 장미정원으로 돌아갔다.\n아무 일도 일어나지 않았다."""
IPHIA01_HELP,success,60,,,item:Condensed_Power_Crystal,"이피아를 도와 반 레온의 궁으로 들어갔다!\n이피아는 반 레온에게 다가가 말을 걸었다.\n\n하지만 이피아의 말이 들리지 않는 것일까.\n반 레온은 멋대로 들어온 나를 내쫓았다.\n\n이피아는 슬퍼했지만, 나에게 고맙다는 말을 전하며 장미정원으로 돌아갔다.\n보스 장신구 세트(5)를 얻었다."
IPHIA01_HELP,great,20,,,item:Dominator_Pendant,"왕족만 아는 비밀 통로를 이용해 반 레온의 궁으로 들어갔다!\n반 레온은 의아해하며 나를 추궁했다.\n\n이피아가 변호하였으나, 반 레온에게는 이피아의 말이 들리지 않았다.\n나는 대신하여 그녀의 말을 전했다.\n\n반 레온은 이피아를 보지 못하고, 듣지 못하는 것에 크게 슬퍼하였다.\n슬퍼하는 반 레온의 곁에 이피아만이 남고 나는 궁을 빠져나왔다.\n보스 장신구 세트(9)를 얻었다."
ALISIA01_ESCAPE,portal,0,포털을 이용한다,4,,
ALISIA01_ESCAPE,key,0,열쇠를 갖고 알리샤에게 돌아간다,5,,
ALISIA01_GUARDIAN,fail,20,,,attack:10,"""봉인의 수호자를 처치하기에는 내 실력이 모자랐다!\n알리샤는 괜찮다며 나를 다독였다.\n공격력/마력이 10만큼 올랐다."""
ALISIA01_GUARDIAN,success,60,,,attack:20,"힘들었지만 봉인의 수호자를 모두 물리쳤다!\n알리샤는 해방되고, 자신의 힘을 사용해 나를 탈출시켜줬다!\n\n알리샤는 무척 고마워하며 나에게 선물을 안겨줬다.\n공격력/마력이 20만큼 올랐다!"
